Messages,Number_of_replies,message,num_reply,Message
I have more minority points than my friends so I'm always on the lookout for the first signs of oppression,1,NA,NA,NA
Davus got that Plan B,47,NA,NA,NA
Screw uc davis picnic day,4,NA,NA,NA
I know a teen that said she was raped by an acquaintance but doesn't want to press charges because then the military won't take her. Is that even something they do?,27,NA,NA,NA
"How big is the ""general"" herd now?",5,NA,NA,NA
"So I guess I'm into bitchy girls who confuse me, what a curse.",19,NA,NA,NA
Anyone know any connects for shrooms or Molly in the bay?,2,NA,NA,NA
"Anyone wanna drink, smoke and chill? Just wanna relax, heavy week",15,NA,NA,NA
When you try and cross your legs but you have balls unlike these weirdos so you don't,3,NA,NA,NA
I just wanna snuggle up against someones bum,7,NA,NA,NA
It's the weekend! Just means I will go home and not talk to anyone until Monday because I have no friends.,0,NA,NA,NA
I can't recall a handle hoe more annoying to me than zodiac in the last 2 years .Aka as long as I've been on this app,2,NA,NA,NA
Seeing people in grad gowns makes me depressed,2,NA,NA,NA
When you don't feel like going out anymore... am I depressed or just growing up?,6,NA,NA,NA
Ever go to a lecture and think that was such a waste of my time,0,NA,NA,NA
Tried eating low carb since yesterday. Actually considered suicide twice today,7,NA,NA,NA
trash daddo does an arrive in the city. getchur asses ready to party u lames.,4,NA,NA,NA
ITS GONNA BE LIT,7,NA,NA,NA
Arreguin is member of BAMN? Just surprised he was openly a member for 5 years on Facebook and it's only out now. Explains Yvette Felacra still having a job. Psychotic UCB Confessions about her on FB,3,NA,NA,NA
ELIMINATE ANTIFA,8,NA,NA,NA
I hear helicopters. Whos bitching about what now?,9,NA,NA,NA
How industry relevant is CS161?,8,NA,NA,NA
Unpopular opinions thread. I'll start: Netflix is bad for moving pictures overall,5,NA,NA,NA
It's a great day to sprawl out on a lawn and read the New Yorker,25,NA,NA,NA
"Imma head out of Berkeley soon, any cool place to check out?",17,NA,NA,NA
Shooketh,0,NA,NA,NA
cleaned 1/4 parts of my room today... in 4 days I'll have it all clean... Actually I'll give myself a due date of next week,0,NA,NA,NA
It's no-bra day by the Lake. Shout out to the girls passing the huge glass bong,5,NA,NA,NA
Let's go smoke,1,NA,NA,NA
"The ""I tasted the new Starbucks unicorn drink and it tasted like crap"" is the new ""I'm vegan""",2,NA,NA,NA
It's hot out but id still snuggle right now.,2,NA,NA,NA
Giggity giggity,7,NA,NA,NA
People on this app have their heads up their asses inches by inches as days go by,2,NA,NA,NA
"Fuuuuuck! Wrote a check to the IRS last week for $45,000 and they just cashed it :(",14,NA,NA,NA
Any lawyers or law students here? The bcr are threatening to sue the university in federal court on grounds its violating the students constitutional rights. Do they even have standing?,17,NA,NA,NA
Zodiac needs to shut the fuck up,8,NA,NA,NA
go spin a music stinky djs.,1,NA,NA,NA
Spotted bcr communications guy sitter standing in front of the news truck on Bancroft,1,NA,NA,NA
henlo rafe,2,NA,NA,NA
My dudes I think I'm sunburnt,4,NA,NA,NA
Mat is so good bros,0,NA,NA,NA
Gone surfing,9,NA,NA,NA
When visitors are amazed by the urban outfitters across the street,0,NA,NA,NA
ITS FRIDAY,4,NA,NA,NA
Heard a repub cuck do a phone interview about coulter repeating their same trash talking points,3,NA,NA,NA
thank you to the two brave souls who came to kickit last night to see trash daddo. better see ya next week.,4,NA,NA,NA
I like penis,10,NA,NA,NA
This will be my first cal day. Idk if I should go or not bc I don't know much about it. Any advice?,22,NA,NA,NA
What's the big fucking deal if I don't wanna feel,3,NA,NA,NA
I miss watermelondrea,7,NA,NA,NA
When you were having a good time on 4/20 but then they stopped letting you DJ because you thought Higher was a better choice for a smoking song than they did,0,NA,NA,NA
Anyone here checking out COCKSPARRER tonight?,2,NA,NA,NA
"Farted on the bus, 4 people turned around... thought I was on the voice",4,NA,NA,NA
That awful feeling when you think you are pregnant but you are too scared to confirm it with a pregnancy test. I guess the condom tore but I can't believe my iud might of failed,12,NA,NA,NA
lol a girl deleted me on snapchat and its slowly bring down my self esteem to -728,6,NA,NA,NA
"Although I would like the world to change, it helps me to appreciate those nights and those dreams. But, my friend, I'd sacrifice all those nights if I could make the earth and my dreams the same.",3,NA,NA,NA
Anybody want to see the Oakland game with me tonight?,5,NA,NA,NA
When you violate the most fundamental anti-cuckoldry laws,2,NA,NA,NA
"Been super fucking down and depressed all week, got some good head last night & now I feel better. Magic",1,NA,NA,NA
I remember kittyprincessu,4,NA,NA,NA
"I used to care so much about him & would've gone to the end of the world and back. But after he threw away the 3 years we had together, I learn to put myself first again.",0,NA,NA,NA
Gonna be more violence here from those antifa cvnts when coulter comes to speak...  they are a disgrace and they are fanning the flames of sentiment for the people they speak out against,5,NA,NA,NA
When your bagel is as hard as  a hockey puck,1,NA,NA,NA
Go away news vultures,9,NA,NA,NA
I want to see Ann Coulter speak. Stupid SJWs,6,NA,NA,NA
What good is having a beautiful body if it's needs to stay covered under clothes all the time or just never gets to be shown off in general?,15,NA,NA,NA
Really don't understand how guys can go from rock hard to limp in the amount of time it takes to get a condom,18,NA,NA,NA
Most of the food on southside is SO hit or miss,5,NA,NA,NA
Wow..... I really get hungover after 3 beers now. Guess I'm getting old,0,NA,NA,NA
"Lie to yourself at day, truth creeps in by night",6,NA,NA,NA
I'm a New Relationship Energy junkie.,6,NA,NA,NA
"Ignorants que nous sommes, n'entendez vous pas les crie de ces enfants ? T'entendez vous pas les pleur du tiers-monde ? Pourquoi sommes nous si goste  ces guerres, ces gnocide,  ses morts ?",12,NA,NA,NA
"It Is Best To Date Multiple Girls At Once, Without Them Knowing. If One Leaves You, You Still Have At Least One Other One. You Don't Have To Worry About Being Alone.",8,NA,NA,NA
Tbh I just need to pay someone to take my math classes for me. I'm not going to use or remember any of it anyway,10,NA,NA,NA
"""I got my dick in your hotdog bun"" - Insane Clown Posse",1,NA,NA,NA
Look at this photograph,10,NA,NA,NA
"Been a while since I was on YY, do people still hook up on here?",11,NA,NA,NA
"Confession: some guy asked me to watch his backpack at Memorial Glade, then left for over two hours. I stepped away for 10 minutes, and it disappeared. Im really sorry bro, but honestly, what can I do",13,NA,NA,NA
Nice job trashing the glade you lazy fucks pick up your shit before you leave,6,NA,NA,NA
Tru,1,NA,NA,NA
Why does it smell like a dead skunk everywhere today?,4,NA,NA,NA
"Farted on the bus, 4 people turned around... thought I was on the voice",4,NA,NA,NA
It's no-bra day by the Lake. Shout out to the girls passing the huge glass bong,5,NA,NA,NA
Not sure why I get excited for 420 when I don't smoke,0,NA,NA,NA
"Fuuuuuck! Wrote a check to the IRS last week for $45,000 and they just cashed it :(",14,NA,NA,NA
lol so I emailed my teacher that I had food poisoning and then ran into him at Bart on the way back from SF..... not even sorry though - happy 420,1,NA,NA,NA
My dudes I think I'm sunburnt,4,NA,NA,NA
"The ""I tasted the new Starbucks unicorn drink and it tasted like crap"" is the new ""I'm vegan""",2,NA,NA,NA
How do I get over someone I never dated?,16,NA,NA,NA
Ever go to a lecture and think that was such a waste of my time,0,NA,NA,NA
It's 4:20 in 4/20 and I'm stuck in traffic,1,NA,NA,NA
Let's go smoke,1,NA,NA,NA
Most of the food on southside is SO hit or miss,5,NA,NA,NA
You can tell it's 420 because yak is fucking silent. All these people prolly baked af and passed out hard af,0,NA,NA,NA
*Hits the blunt* University of California Bluntly,0,NA,NA,NA
Is Soy Milk just milk introducing himself in spanish?,3,NA,NA,NA
thank you to the two brave souls who came to kickit last night to see trash daddo. better see ya next week.,4,NA,NA,NA
Really don't understand how guys can go from rock hard to limp in the amount of time it takes to get a condom,18,NA,NA,NA
Trump started a fight over trade with Canada. Does he think Canada only exports maple and down jackets? LOL,24,NA,NA,NA
"Been super fucking down and depressed all week, got some good head last night & now I feel better. Magic",1,NA,NA,NA
I like penis,10,NA,NA,NA
That awful feeling when you think you are pregnant but you are too scared to confirm it with a pregnancy test. I guess the condom tore but I can't believe my iud might of failed,12,NA,NA,NA
lol a girl deleted me on snapchat and its slowly bring down my self esteem to -728,6,NA,NA,NA
Gone surfing,9,NA,NA,NA
Look at this photograph,10,NA,NA,NA
It's the weekend! Just means I will go home and not talk to anyone until Monday because I have no friends.,0,NA,NA,NA
I miss watermelondrea,7,NA,NA,NA
Sucks I can't smoke some kush I could really use some. S/o to the people who get drug tested .,4,NA,NA,NA
That feeling you get when you've been busting your ass nonstop studying and you finally get to enjoy a perfect 420 that you've been waiting to celebrate for a month,0,NA,NA,NA
Go away news vultures,9,NA,NA,NA
When you were having a good time on 4/20 but then they stopped letting you DJ because you thought Higher was a better choice for a smoking song than they did,0,NA,NA,NA
Davus got that Plan B,47,NA,NA,NA
Wow..... I really get hungover after 3 beers now. Guess I'm getting old,0,NA,NA,NA
cleaned 1/4 parts of my room today... in 4 days I'll have it all clean... Actually I'll give myself a due date of next week,0,NA,NA,NA
Giggity giggity,7,NA,NA,NA
Anyone wanna smoke some meth on the glade with me in an hour and a half?,7,NA,NA,NA
"I'm up in town for the weekend, what's cool to do? Also if anybody wants to get together and play board games or something, I'm all for it!",3,NA,NA,NA
Why isn't it Friday!!!!,1,NA,NA,NA
When you violate the most fundamental anti-cuckoldry laws,2,NA,NA,NA
It's hot out but id still snuggle right now.,2,NA,NA,NA
Tried eating low carb since yesterday. Actually considered suicide twice today,7,NA,NA,NA
Kittens over babies every time,10,NA,NA,NA
I want to see Ann Coulter speak. Stupid SJWs,6,NA,NA,NA
"So I guess I'm into bitchy girls who confuse me, what a curse.",19,NA,NA,NA
I hear helicopters. Whos bitching about what now?,9,NA,NA,NA
What is Zionism?,8,NA,NA,NA
Party at 1200westview drive,4,NA,NA,NA
I remember kittyprincessu,4,NA,NA,NA
What's the big fucking deal if I don't wanna feel,3,NA,NA,NA
Mat is so good bros,0,NA,NA,NA
When your bagel is as hard as  a hockey puck,1,NA,NA,NA
When you start getting high texts from your mom on 4/20,3,NA,NA,NA
Any lawyers or law students here? The bcr are threatening to sue the university in federal court on grounds its violating the students constitutional rights. Do they even have standing?,17,NA,NA,NA
Tbh I like to see the reactions of the older people when they see the crowd at the glade,1,NA,NA,NA
Spotted bcr communications guy sitter standing in front of the news truck on Bancroft,1,NA,NA,NA
"Although I would like the world to change, it helps me to appreciate those nights and those dreams. But, my friend, I'd sacrifice all those nights if I could make the earth and my dreams the same.",3,NA,NA,NA
Shooketh,0,NA,NA,NA
People on this app have their heads up their asses inches by inches as days go by,2,NA,NA,NA
Unpopular opinions thread. I'll start: Netflix is bad for moving pictures overall,5,NA,NA,NA
When visitors are amazed by the urban outfitters across the street,0,NA,NA,NA
How industry relevant is CS161?,8,NA,NA,NA
"Lie to yourself at day, truth creeps in by night",6,NA,NA,NA
Lovely day today. Don't forget to smile,3,NA,NA,NA
I'm in a new relationship and I'm really happy and excited for it all but I have unfinished feelings for another guy advice?,20,NA,NA,NA
Anybody want to see the Oakland game with me tonight?,5,NA,NA,NA
"""I got my dick in your hotdog bun"" - Insane Clown Posse",1,NA,NA,NA
It's a great day to sprawl out on a lawn and read the New Yorker,25,NA,NA,NA
trash daddo does an arrive in the city. getchur asses ready to party u lames.,4,NA,NA,NA
I love you oh thank you nan salangeul mola,0,NA,NA,NA
Gonna be more violence here from those antifa cvnts when coulter comes to speak...  they are a disgrace and they are fanning the flames of sentiment for the people they speak out against,5,NA,NA,NA
When is the Cal naked run???,11,NA,NA,NA
When you don't feel like going out anymore... am I depressed or just growing up?,6,NA,NA,NA
Heard a repub cuck do a phone interview about coulter repeating their same trash talking points,3,NA,NA,NA
I'm a New Relationship Energy junkie.,6,NA,NA,NA
Go on nightshift.co to relieve your 420 boner,0,NA,NA,NA
Zodiac needs to shut the fuck up,8,NA,NA,NA
Arreguin is member of BAMN? Just surprised he was openly a member for 5 years on Facebook and it's only out now. Explains Yvette Felacra still having a job. Psychotic UCB Confessions about her on FB,3,NA,NA,NA
I have such an annoying voice,6,NA,NA,NA
go spin a music stinky djs.,1,NA,NA,NA
What?,5,NA,NA,NA
Tfw you offend somebody on tinder so they write an essay about how I'm a bad person,7,NA,NA,NA
tfw u cum,0,NA,NA,NA
I'm a clumsy bitch,0,NA,NA,NA
ITS FRIDAY,4,NA,NA,NA
Old people shouting in a lecture,0,NA,NA,NA
Anyone here checking out COCKSPARRER tonight?,2,NA,NA,NA
I miss cheating on my ex...fug,0,NA,NA,NA
When you spend months hanging out testing each other out only to realize that we should just start fucking and forget about the relationship part,1,NA,NA,NA
I know a teen that said she was raped by an acquaintance but doesn't want to press charges because then the military won't take her. Is that even something they do?,27,NA,NA,NA
my feet look fucked up,0,NA,NA,NA
I dumped my girlfriend because she would not give me anal sex.,7,NA,NA,NA
"Benefit Health Collective $25 gets you all you can eat medicated Mac n cheese and nachos, and all you can dab",2,NA,NA,NA
"How big is the ""general"" herd now?",5,NA,NA,NA
ITS GONNA BE LIT,7,NA,NA,NA
"I used to care so much about him & would've gone to the end of the world and back. But after he threw away the 3 years we had together, I learn to put myself first again.",0,NA,NA,NA
When the dabs are too face-melting,3,NA,NA,NA
I can't recall a handle hoe more annoying to me than zodiac in the last 2 years .Aka as long as I've been on this app,2,NA,NA,NA
NA,4,NA,NA,We're building a culture of people who generally hate each other
NA,11,NA,NA,Got hired on the spot for my second job.  I'm really proud.
NA,19,NA,NA,"Honestly I love the relationship this ""heard"" has with Clara. Its very abusive but somehow also okay, and mutually understood."
NA,5,NA,NA,I develop crushes easily when at my most depressed stages in life
NA,10,NA,NA,"I forgot my laundry in the dryer and some beautiful kind soul took it out, folded it nearly, organized it, paired the socks, and then put it in my basket for me before they put in their own clothes :)"
NA,43,NA,NA,Am I the only one who has been using this app less since zodiac started posting a week or two ago?
NA,34,NA,NA,My girlfriend just had me eat her out for 30 minutes than left to have sex with her ex :(
NA,21,NA,NA,Can't even get drunk anymore ffs. Not alcoholic enough to chug anything and too high tolerance to get drunk drinking at a normal pace.
NA,6,NA,NA,NA
NA,0,NA,NA,It's Sunday post memes
NA,7,NA,NA,That moment your roommates decide to bring guys over at 2am and you get so pissed b/c you gotta wake up early and work on your final project.
NA,7,NA,NA,Happiness makes up in hight what it lacks in length - Robert Frost
NA,13,NA,NA,I have never felt so alone.
NA,2,NA,NA,"What people do on yy, is a lot of the same stuff people do in group therapy, vent and get feedback."
NA,6,NA,NA,Dated a girl in my friend group and basically lost my friend group when it didn't work out
NA,8,NA,NA,My name is fuck off.
NA,8,NA,NA,"YY admin, up your game, I blocked this user but he is still able to contact me. TF."
NA,2,NA,NA,Lips stained with wine instead of lipstick
NA,10,NA,NA,Cal day was not as cool as I expected it to be
NA,0,NA,NA,2016 trump le pen duterte brexit duterte erdogan 2017 fuck the fascist rise to power
NA,16,NA,NA,I just met the most adorable guy ever. I'm not attracted to him like that but he's so cute and adorable.
NA,0,NA,NA,My mom hates my smile...
NA,3,NA,NA,Google 1996 bill Clinton speech to congress
NA,14,NA,NA,Anyone know any good face moisturizers ? That are legit for dry skin
NA,3,NA,NA,New in town. Anyone wanna meet up and peruse each other's photo albums? I have some good ones to share with you all
NA,2,NA,NA,That's a lot of police sirens
NA,3,NA,NA,"hey now, ur a rockstar, turn the game on, get laid"
NA,41,NA,NA,So I've never casually hooked up with a stranger before and the idea seems weird to me. Like how can you go from just meeting someone to sex in a day? What are the steps?
NA,18,NA,NA,When she says your too thick for anal :(
NA,8,NA,NA,Chilling at the glade
NA,43,NA,NA,You better answer wisely
NA,7,NA,NA,Wish coke didn't ruin my nose for a week afterwards
NA,5,NA,NA,"Hi guys, my name is Gary and I'm new here. My favorite movie is iRobot"
NA,12,NA,NA,Been feeling really paranoid all the time. Sometimes I worry I'm schizo.
NA,2,NA,NA,Wanted to go to the opening of the flea market today but I can't seem to get out of bed
NA,2,NA,NA,Dab bar opening near Laney College
NA,3,NA,NA,The happiness the day after having sex in a long time. So good. Lol.
NA,9,NA,NA,I feel like everyone is getting laid but me and I have a decent social life and I know I'm not the cutest yet ppl who look worse than me get it more often. I feel like ppl only want me to chill w them
NA,4,NA,NA,There's a car with a chain on it that rides around the piedmont greek row area every night and it's hella creepy lmao
NA,3,NA,NA,That time of night when I have  cravings
NA,4,NA,NA,IDUKS dog is in front of unit 1
NA,4,NA,NA,Can't stop eating.
NA,2,NA,NA,"The AEPI last night was one of the worst parties I've ever been to. It was a total wiener fest, got af, shit drinks, crowded and rudra reddy was there..... total ass of a party"
NA,18,NA,NA,"Dear anon who posted some crazy accusations about liberals, then accused another anon as someone who argued with him in the past, then deleted everything: you may have anger issues. Consider therapy."
NA,3,NA,NA,Anal
NA,1,NA,NA,Everyone you meet is fighting a battle you know nothing about. Be kind. Always. -skam
NA,25,NA,NA,I'm literally an idiot bio major who only ever does the bare minimum and will probably end up working in something unrelated to my field AMA
NA,5,NA,NA,When your friends drag you along to Cal day and these five words in my head scream Are we having fun yet
NA,2,NA,NA,Who knew that loving each other too much would end our relationship?
NA,4,NA,NA,These last few weeks of school are just too overwhelming. I'm six feet from the edge and I'm thinking maybe six feet ain't so far down.
NA,16,NA,NA,"My friends won't come to berkeley from SF but I don't wanna stay in. Should I go to kips alone, get drunk, hope for the best. Or, walk my dog around telegraph, drink boba smoke weed and people watch"
NA,2,NA,NA,"Visiting from Socal, good bars ? We're 23"
NA,5,NA,NA,Trump is so pro STEM he celebrated the March for Science & Earth Day by firing the Surgeon General! #MAGA!
NA,14,NA,NA,What's a good website to surf when you're bored af
NA,26,NA,NA,Head to toe in red
NA,9,NA,NA,New in town :)
NA,10,NA,NA,"just had a disturbing dream i went to some easter party in the parking lot of a church I don't even go to, and I brought a cake shaped and colored exactly like my mother's butt"
NA,4,NA,NA,i masturbate all day every day. I hope my future SO is ready..
NA,1,NA,NA,Does anyplace serve sweet French fries? That sounds delicious
NA,8,NA,NA,Enjoyed the view
NA,3,NA,NA,When you don't want to leave the house but have no food at home
NA,0,NA,NA,"When you visit Doses up in Davis for Picnic Day and dress up as Buzz Lightyear and go: Salty, salty, everywhere!"
NA,7,NA,NA,"Saw this ""app that spies on your kids' online activity 24/7"" ad on YouTube. Ppl who came up with this idea r beyond fucked up on the inside, and parents who like this idea don't deserve to be parents"
NA,9,NA,NA,Awful quiet around here... where's cowclitty? Dopechick?
NA,2,NA,NA,When sex and money are the focal points of life it'll often result in a lot of really fucked up experiences that make you feel like all people are like the ones you stupidly chose to meet.
NA,1,NA,NA,"You guys need Him, heathens"
NA,9,NA,NA,What's up SF
NA,27,NA,NA,You can't be in love with two people.
NA,0,NA,NA,That awkward moment when Cal students from Yikyakk come up to Davis for Picnic Day and fuck more cows in a single day than you do during your four years here combined
NA,4,NA,NA,Anyone have a Sony blu rah remote I can use
NA,1,NA,NA,Wish I had Bastille tickets
NA,3,NA,NA,"When she says ""how could it be so wrong if it feels so right"" and you think she's so innocent but it turns out she's talking about smoking crack"
NA,3,NA,NA,I have a stupid cat
NA,0,NA,NA,Is there a bird watching club at Cal? I didn't see a table for them at Cal day
NA,0,NA,NA,All the people yelling today just reminds me of the hell yeah guy
NA,25,NA,NA,GET IT TOGETHER BRO
NA,6,NA,NA,Might be moving down here soon but it would be a big career move and change of life. I am scared and or excited to hear about the opportunity. Hope to hear and chat with some of yall
NA,1,NA,NA,Anyone been to secrets recently.
NA,3,NA,NA,Best pickup lines... go
NA,0,NA,NA,Just got home from work & all I want is a nap.. but I have homework
NA,4,NA,NA,"I heard Passion of the Christ was gory, but man I was seriously not prepared to be disturbed on this level. I'm never gonna be able to watch a Mel Gibson movie the same again"
NA,14,NA,NA,I feel really bad I cheated on my boyfriend. I wanna talk to someone
NA,2,NA,NA,It's probably bad that I'm watching a tv show instead of getting off with someone right?
NA,3,NA,NA,My Austrian roommate as weird snack foods
NA,14,NA,NA,who wants to hangout
NA,7,NA,NA,I find my self noticing that people on the left want to take no personal responsibility and people on the right do not want intuitions to take responsibility. I want both to take responsibility where
NA,17,NA,NA,Anyone up for some casual sex
NA,12,NA,NA,"men and women are so different. If a man found out a woman was masturbating to him, it would make his day. If a woman found out a man was masturbating to her, she would be creeped out."
NA,9,NA,NA,The amount that I masturbate just cannot be normal
NA,1,NA,NA,"Washboard Lisa wash away your sins , let em go down the drain . Everytime you move your dirty little hands , takes away our fears and our pain"
NA,8,NA,NA,"Just want a good fwb.  Don't want a relationship, just some good, consistent dick and someone to cuddle with/ get food with/ go on adventures with."
NA,14,NA,NA,Is the IMF a transnational corporation?
NA,15,NA,NA,How does blocking sather gate during an event get you higher wages???
NA,0,NA,NA,"So the mystery is, has any Davis made it out of shittown Davis alive without caught and clittied by the cows?"
NA,1,NA,NA,"When I see an excited admit in Davis for Picnic Day. Me:""It sucks. Your going to get a limp dick from fucking all the crusty cows. Better get a check-up for UCD-positive every week."" He:"
NA,0,NA,NA,Who's going to Balkan Beat Box @ the UC theatre tonight!?
NA,1,NA,NA,Looking for a kinky submissive girl for some fun sexting
NA,0,NA,NA,I'm just a broke nigga with high aspirations #hoodlife
NA,0,NA,NA,DJ Akoza so hard if you know who he is you real
NA,6,NA,NA,Best pickup lines... go
NA,4,NA,NA,I have a stupid cat
NA,0,NA,NA,Just got home from work & all I want is a nap.. but I have homework
NA,1,NA,NA,Wish I had Bastille tickets
NA,14,NA,NA,I feel really bad I cheated on my boyfriend. I wanna talk to someone
NA,17,NA,NA,Anyone up for some casual sex
NA,25,NA,NA,GET IT TOGETHER BRO
NA,19,NA,NA,"Honestly I love the relationship this ""heard"" has with Clara. Its very abusive but somehow also okay, and mutually understood."
NA,8,NA,NA,My name is fuck off.
NA,10,NA,NA,"I forgot my laundry in the dryer and some beautiful kind soul took it out, folded it nearly, organized it, paired the socks, and then put it in my basket for me before they put in their own clothes :)"
NA,4,NA,NA,These last few weeks of school are just too overwhelming. I'm six feet from the edge and I'm thinking maybe six feet ain't so far down.
NA,8,NA,NA,"YY admin, up your game, I blocked this user but he is still able to contact me. TF."
NA,1,NA,NA,Anyone been to secrets recently.
NA,3,NA,NA,The happiness the day after having sex in a long time. So good. Lol.
NA,0,NA,NA,2016 trump le pen duterte brexit duterte erdogan 2017 fuck the fascist rise to power
NA,1,NA,NA,"You guys need Him, heathens"
NA,4,NA,NA,IDUKS dog is in front of unit 1
NA,0,NA,NA,It's Sunday post memes
NA,27,NA,NA,You can't be in love with two people.
NA,1,NA,NA,Everyone you meet is fighting a battle you know nothing about. Be kind. Always. -skam
NA,9,NA,NA,What's up SF
NA,18,NA,NA,When she says your too thick for anal :(
NA,3,NA,NA,When you don't want to leave the house but have no food at home
NA,3,NA,NA,New in town. Anyone wanna meet up and peruse each other's photo albums? I have some good ones to share with you all
NA,9,NA,NA,New in town :)
NA,41,NA,NA,So I've never casually hooked up with a stranger before and the idea seems weird to me. Like how can you go from just meeting someone to sex in a day? What are the steps?
NA,0,NA,NA,My mom hates my smile...
NA,5,NA,NA,"Hi guys, my name is Gary and I'm new here. My favorite movie is iRobot"
NA,43,NA,NA,You better answer wisely
NA,3,NA,NA,Google 1996 bill Clinton speech to congress
NA,44,NA,NA,Am I the only one who has been using this app less since zodiac started posting a week or two ago?
NA,1,NA,NA,"Washboard Lisa wash away your sins , let em go down the drain . Everytime you move your dirty little hands , takes away our fears and our pain"
NA,10,NA,NA,"just had a disturbing dream i went to some easter party in the parking lot of a church I don't even go to, and I brought a cake shaped and colored exactly like my mother's butt"
NA,1,NA,NA,Does anyplace serve sweet French fries? That sounds delicious
NA,2,NA,NA,Wanted to go to the opening of the flea market today but I can't seem to get out of bed
NA,4,NA,NA,Anyone have a Sony blu rah remote I can use
NA,2,NA,NA,"The AEPI last night was one of the worst parties I've ever been to. It was a total wiener fest, got af, shit drinks, crowded and rudra reddy was there..... total ass of a party"
NA,4,NA,NA,There's a car with a chain on it that rides around the piedmont greek row area every night and it's hella creepy lmao
NA,6,NA,NA,NA
NA,1,NA,NA,"When I see an excited admit in Davis for Picnic Day. Me:""It sucks. Your going to get a limp dick from fucking all the crusty cows. Better get a check-up for UCD-positive every week."" He:"
NA,7,NA,NA,I find my self noticing that people on the left want to take no personal responsibility and people on the right do not want intuitions to take responsibility. I want both to take responsibility where
NA,0,NA,NA,"When you visit Doses up in Davis for Picnic Day and dress up as Buzz Lightyear and go: Salty, salty, everywhere!"
NA,0,NA,NA,"So the mystery is, has any Davis made it out of shittown Davis alive without caught and clittied by the cows?"
NA,0,NA,NA,That awkward moment when Cal students from Yikyakk come up to Davis for Picnic Day and fuck more cows in a single day than you do during your four years here combined
NA,2,NA,NA,When sex and money are the focal points of life it'll often result in a lot of really fucked up experiences that make you feel like all people are like the ones you stupidly chose to meet.
NA,2,NA,NA,"What people do on yy, is a lot of the same stuff people do in group therapy, vent and get feedback."
NA,7,NA,NA,That moment your roommates decide to bring guys over at 2am and you get so pissed b/c you gotta wake up early and work on your final project.
NA,7,NA,NA,Happiness makes up in hight what it lacks in length - Robert Frost
NA,2,NA,NA,That's a lot of police sirens
NA,14,NA,NA,Is the IMF a transnational corporation?
NA,25,NA,NA,I'm literally an idiot bio major who only ever does the bare minimum and will probably end up working in something unrelated to my field AMA
NA,34,NA,NA,My girlfriend just had me eat her out for 30 minutes than left to have sex with her ex :(
NA,9,NA,NA,Awful quiet around here... where's cowclitty? Dopechick?
NA,1,NA,NA,Looking for a kinky submissive girl for some fun sexting
NA,2,NA,NA,It's probably bad that I'm watching a tv show instead of getting off with someone right?
NA,4,NA,NA,We're building a culture of people who generally hate each other
NA,3,NA,NA,That time of night when I have  cravings
NA,4,NA,NA,i masturbate all day every day. I hope my future SO is ready..
NA,14,NA,NA,Anyone know any good face moisturizers ? That are legit for dry skin
NA,2,NA,NA,"Visiting from Socal, good bars ? We're 23"
NA,11,NA,NA,Got hired on the spot for my second job.  I'm really proud.
NA,3,NA,NA,Anal
NA,9,NA,NA,The amount that I masturbate just cannot be normal
NA,5,NA,NA,I develop crushes easily when at my most depressed stages in life
NA,9,NA,NA,I feel like everyone is getting laid but me and I have a decent social life and I know I'm not the cutest yet ppl who look worse than me get it more often. I feel like ppl only want me to chill w them
NA,15,NA,NA,How does blocking sather gate during an event get you higher wages???
NA,4,NA,NA,We're building a culture of people who generally hate each other
NA,11,NA,NA,Got hired on the spot for my second job.  I'm really proud.
NA,19,NA,NA,"Honestly I love the relationship this ""heard"" has with Clara. Its very abusive but somehow also okay, and mutually understood."
NA,5,NA,NA,I develop crushes easily when at my most depressed stages in life
NA,10,NA,NA,"I forgot my laundry in the dryer and some beautiful kind soul took it out, folded it nearly, organized it, paired the socks, and then put it in my basket for me before they put in their own clothes :)"
NA,44,NA,NA,Am I the only one who has been using this app less since zodiac started posting a week or two ago?
NA,34,NA,NA,My girlfriend just had me eat her out for 30 minutes than left to have sex with her ex :(
NA,21,NA,NA,Can't even get drunk anymore ffs. Not alcoholic enough to chug anything and too high tolerance to get drunk drinking at a normal pace.
NA,6,NA,NA,NA
NA,0,NA,NA,It's Sunday post memes
NA,7,NA,NA,That moment your roommates decide to bring guys over at 2am and you get so pissed b/c you gotta wake up early and work on your final project.
NA,7,NA,NA,Happiness makes up in hight what it lacks in length - Robert Frost
NA,13,NA,NA,I have never felt so alone.
NA,2,NA,NA,"What people do on yy, is a lot of the same stuff people do in group therapy, vent and get feedback."
NA,6,NA,NA,Dated a girl in my friend group and basically lost my friend group when it didn't work out
NA,8,NA,NA,My name is fuck off.
NA,8,NA,NA,"YY admin, up your game, I blocked this user but he is still able to contact me. TF."
NA,2,NA,NA,Lips stained with wine instead of lipstick
NA,10,NA,NA,Cal day was not as cool as I expected it to be
NA,0,NA,NA,2016 trump le pen duterte brexit duterte erdogan 2017 fuck the fascist rise to power
NA,16,NA,NA,I just met the most adorable guy ever. I'm not attracted to him like that but he's so cute and adorable.
NA,0,NA,NA,My mom hates my smile...
NA,3,NA,NA,Google 1996 bill Clinton speech to congress
NA,14,NA,NA,Anyone know any good face moisturizers ? That are legit for dry skin
NA,3,NA,NA,New in town. Anyone wanna meet up and peruse each other's photo albums? I have some good ones to share with you all
